0.28,-84.98,Bent,
0.315,-85.347,Bent,
0.408,-24.969,FR II,
0.443,-24.64,FR II,
0.448,-24.695,FR I,
0.558,-24.367,FR II,
0.562,-85.718,Point Source,
0.581,-24.671,Exotic,
0.624,-84.625,Bent,
0.68,-24.755,Bent,
0.71,-25.068,Bent,
0.71,-25.274,Unknown,
0.768,-24.734,FR I,
0.769,-24.75,FR I,
0.802,-24.905,Bent,
0.815,-24.799,Bent,
0.832,-24.709,Bent,
0.847,-24.167,FR I,
0.851,-24.632,Bent,
0.892,-24.218,Unknown,
0.9,-25.448,Unknown,
0.923,-24.804,Bent,
0.947,-25.34,Point Source,
0.971,-24.29,Bent,
1.032,-24.344,FR I,
1.068,-24.605,Unknown,
1.069,-24.397,FR II,
1.077,-24.45,FR I,
1.091,-24.631,Bent,
1.1,-24.445,Bent,
1.101,-24.996,FR II,
1.109,-24.936,Bent,
1.118,-24.696,Bent,
1.129,-24.866,Point Source,
1.13,-25.121,Point Source,
1.144,-24.526,FR II,
1.158,-24.189,Unknown,
1.159,-66.941,Unknown,
1.161,-23.746,FR I,
1.166,-24.878,Bent,
1.213,-24.959,FR I,
1.22,-24.566,Bent,
1.227,-24.34,FR II,
1.228,-24.668,Bent,
1.236,-24.883,FR I,
1.24,-24.761,FR I,
1.244,-24.585,Bent,
1.244,-25.565,FR II,
1.245,-24.416,FR II,
1.253,-24.665,Unknown,
1.256,-24.689,Bent,
1.265,-25.605,Bent,
1.269,-65.782,Unknown,
1.272,-24.73,FR II,
1.279,-24.22,FR I,
1.287,-24.477,FR II,
1.315,-85.031,Bent,
1.341,-24.436,Unknown,
1.342,-24.523,Unknown,
1.346,-24.176,FR II,
1.351,-24.564,Unknown,
1.359,-24.177,Bent,
1.359,-24.703,Unknown,
1.37,-66.644,FR II,
1.382,-24.037,FR II,
1.405,-24.369,Bent,
1.418,-24.622,Point Source,
1.423,-25.648,FR I,
1.43,-65.237,Bent,
1.434,-25.128,FR II,
1.454,-25.024,Bent,
1.455,-25.149,Unknown,
1.456,-25.059,FR II,
1.477,-65.241,Unknown,
1.48,-85.604,FR I,
1.483,-66.638,FR II,
1.487,-24.821,FR II,
1.488,-24.458,Unknown,
1.499,-24.199,Bent,
1.499,-24.777,FR II,
1.515,-25.121,Bent,
1.516,-66.097,FR II,
1.547,-25.028,FR II,
1.558,-24.225,Unknown,
1.565,-25.033,Bent,
1.582,-24.623,Bent,
1.582,-25.092,Bent,
1.588,-24.254,FR II,
1.598,-24.318,Bent,
1.601,-24.638,FR II,
1.603,-23.633,Unknown,
1.606,-24.897,FR II,
1.616,-25.142,Point Source,
1.618,-23.961,FR I,
1.632,-84.839,Bent,
1.635,-25.363,Unknown,
1.636,-66.133,FR I,
1.641,-66.667,Unknown,
1.653,-25.118,Unknown,
1.661,-85.035,FR II,
1.662,-25.216,FR II,
1.681,-25.08,Bent,
1.709,-24.527,FR II,
1.718,-25.116,Bent,
1.719,-25.171,Bent,
1.729,-24.16,FR II,
1.754,-66.308,Unknown,
1.759,-24.728,FR I,
1.775,-65.945,Bent,
1.785,-23.744,Bent,
1.789,-24.372,Bent,
1.789,-85.847,Bent,
1.791,-65.965,FR II,
1.791,-66.379,Unknown,
1.795,-25.216,FR I,
1.826,-25.26,Bent,
1.832,-24.78,Unknown,
1.837,-24.804,Bent,
1.845,-24.848,Bent,
1.849,-24.317,Bent,
1.854,-66.647,FR II,
1.867,-24.864,Bent,
1.887,-24.777,FR II,
1.915,-25.148,Bent,
1.932,-66.932,FR II,
1.934,-66.555,FR II,
1.938,-66.289,Point Source,
1.939,-24.865,FR II,
1.944,-65.163,Point Source,
1.946,-24.669,FR II,
1.948,-25.364,Unknown,
1.983,-66.519,FR II,
10.009,-9.18,Bent,
10.016,-21.463,Bent,
10.028,-9.522,Unknown,
10.036,-9.286,Bent,
10.036,-9.715,Bent,
10.042,-9.189,Bent,
